month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2004-09,,,,0.7296470721003617,,1.632467404526045,1.3059770668031934,2.6424740167350675,1.2982472322121874,,1.206474452931484,0.09479895250857343
2004-10,3.687357387039831,,,0.7296470721003617,,1.8397619890357597,1.1295394411174204,2.6424740167350675,1.5485684216044688,,1.206474452931484,-0.5284788197877768
2004-11,,,,0.7296470721003617,,1.8858274522601408,2.3323582720203166,2.469905846360985,1.6623507804191422,,1.206474452931484,-0.5182569565158268
2004-12,,,,0.7296470721003617,,1.8167292574235694,2.0316447910010367,1.1756445685553707,1.594081365130338,,1.206474452931484,-0.6285489318845628
2005-01,2.8059173742016243,,,0.7296470721003617,,1.9451943179905657,0.6939228449167099,0.8305082278072068,1.3665166475009913,,4.664206344449894,-1.0230788433634097
2005-02,,4.602345989905595,,3.280295201785591,,1.2639436987309964,,0.3990878018720019,1.070682514582841,,4.664206344449894,-1.2918143397999908
2005-03,,4.297285249944727,,0.38547961780150036,,2.2543511580551896,0.7740382506052451,2.1247695056128215,0.9751053331785154,,1.206474452931484,-0.3902273676422392
2005-04,4.921373405013319,7.3417400887049,,0.7296470721003617,,1.8167292574235694,0.7386296294107788,1.08936048336833,1.0251695710569715,,1.206474452931484,-1.1073585070026317
2005-05,,7.225363363778563,,0.7296470721003617,,1.42517282001633,1.3691607961189594,0.312803716684961,1.0661312202302542,,1.206474452931484,-1.9305060281283668
2005-06,,2.909073935676383,,0.7296470721003617,,1.5633692096894736,0.7831796118681903,0.312803716684961,1.0934389863457756,,1.206474452931484,-2.2707875125293153
2005-07,4.833229403729498,1.4963750801878086,,0.7296470721003617,,1.5864019413016641,0.524133060762695,0.1402355463108791,0.9341436840052331,,1.206474452931484,-2.400986575873883
2005-08,,1.0099252941541208,,0.7296470721003617,,1.5403364780772828,2.6561971275509553,0.312803716684961,0.9341436840052331,,1.206474452931484,-2.510361846888147
