month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零_去季节性,CPI,PPI,失业率差分,逆回购7天(19日),银行间7天回购(20-19均值)
2011-09,,0.25183736165564025,,1.7143994400467377,0.6436443047170124,1.360793935952962,2.8878267340023727,1.8211525037446625,,1.0947709791279685,1.1465459900691157
2011-10,1.7952114206145344,0.3263866759788735,,1.8047503451820373,1.300366144069259,1.43344966670218,2.82140485426674,1.6340653531852432,,1.0947709791279685,1.3026432400492785
2011-11,,-0.1992286033679784,,1.6240485349114384,1.125524615410544,1.4476708024844729,2.369103482733617,1.2445140259930279,,1.0947709791279685,0.7432009878482786
2011-12,,-1.7601449486973182,,1.3831127878839737,0.8184858333757274,1.3604901653541774,1.364867920063921,0.6601870352047049,,1.0947709791279685,0.5765820050405308
2012-01,1.3254364694256833,-0.38977485472829687,,1.5035806613977063,,1.5115621649646815,1.2423037372184076,0.39621475427840097,,1.0947709791279685,2.088483655255079
2012-02,,-0.04801956090267801,,-1.5081161764456037,,1.375146223769629,1.5823205025317688,0.15018233710437018,,1.0947709791279685,1.0975342959492242
2012-03,,0.5467520341981669,2.667058596433254,4.0635229735645195,3.5882315129814693,1.6038157180913541,0.5543628399564899,-0.02921630041836061,,1.0947709791279685,0.452132815918586
2012-04,0.8556615182368337,1.7891170120261137,3.181146562097571,1.2325279459918084,0.2001438417778328,0.9514628419394671,0.870657505364268,-0.11891561917972601,,1.0947709791279685,0.4820117344858301
2012-05,,2.9392088486631165,1.6590429774836088,0.4494867681525479,-0.49709005909289655,0.8656939663677954,0.7125101726603789,-0.21630345097777984,,0.44052194512619525,0.4155299884130119
2012-06,,-0.05360455709338723,0.9534320442188544,0.5398376732878468,-0.18365463576568797,0.6794353181938362,0.3962155072526008,-0.39570208850051064,,0.44052194512619525,-0.7953175788054547
2012-07,0.5424782174442674,-0.42810902495834424,3.070264844013111,0.5097207049094139,-0.38750152114337816,0.5685864813673372,-0.2363738235629553,-0.5699750506654492,,0.512244049270218,0.7232834611523954
2012-08,,-0.6986858987449202,1.0542336061138204,0.41936979977411437,-0.3319300602515934,0.6174887370083496,-0.5526684889707335,-0.7724392272982453,,0.512244049270218,0.2777903870712414
2012-09,,-1.6557355503551996,1.7598445393785749,0.3290188946388154,-0.5312054793189873,0.5182599376547138,-0.39452115626684453,-0.9287723257109107,,0.512244049270218,0.26621338423174323
2012-10,0.3858865670479839,-1.2445557221477108,-0.7601945079955379,0.41936979977411437,-0.6719315877516117,0.6574315103748462,-0.4735948226187891,-0.9467121894631837,,0.512244049270218,0.28335960301196617
2012-11,,-0.42364894595748476,1.0542336061138204,0.5398376732878468,-0.004548679578711632,0.8380007850253595,-0.6317421553226782,-0.7442480128303876,,0.512244049270218,0.06023325346396538
