month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2004-12,,,,1.2071696655287816,,1.047375052101148,2.0646442332745942,0.8501616523490069,1.7655500301802087,,1.345384361779207,-1.4646010180993085
2005-01,1.982613751781796,,,1.2071696655287816,,1.1944624571770388,0.33938886649111244,0.3874022047906074,1.5371833025601391,,1.345384361779207,-1.5211772600217803
2005-02,,5.347995165959905,,5.0068541481730096,,0.45902543179758426,,-0.19104710465739222,1.240306556654049,,1.345384361779207,-1.335556144045287
2005-03,,5.106857737614105,,0.18703501425138128,,1.5131518348414692,2.3419220898284268,2.122750133134606,1.1443925310536198,,1.345384361779207,-1.519999643260309
2005-04,4.265754560812957,8.076418678299634,,1.2071696655287816,,1.047375052101148,-0.21987914860786814,0.7344717904594075,1.194633211130035,,1.345384361779207,-1.7183531959447167
2005-05,,7.714770397864807,,1.2071696655287816,,0.6306274043861235,1.1950794055799883,-0.306736966546992,1.2357392221016477,,1.345384361779207,-1.7183531959447167
2005-06,,3.0828675825309597,,1.2071696655287816,,0.7777148094620148,0.31398691135748946,-0.306736966546992,1.263143229416056,,1.345384361779207,-1.7183531959447167
2005-07,4.1706236937699925,1.393420507338093,,1.2071696655287816,,0.8022293769746631,0.014663500104244772,-0.5381166903261918,1.1032865200820072,,1.345384361779207,-1.7183531959447167
2005-08,,0.607079153216186,,1.2071696655287816,,0.753200241949366,2.6016765971754405,-0.306736966546992,1.1032865200820072,,1.345384361779207,-1.7183531959447167
2005-09,,2.564667021169684,,1.2071696655287816,,0.7041711069240691,0.7228033982793227,-0.8851862759949916,1.126123192844014,,1.345384361779207,-1.7183531959447167
2005-10,3.9803619596840627,5.434355549733206,,1.2071696655287816,,0.753200241949366,0.5477188550207417,-1.3479457235533914,0.9434298107479586,,1.345384361779207,-1.7183531959447167
2005-11,,4.471654993832686,,1.2071696655287816,,0.7777148094620148,1.6181260421722066,-1.0008761378845916,0.8292464469379238,,1.345384361779207,-1.7183531959447167
2005-12,,4.012004143232322,,1.2071696655287816,,0.6796565394114207,1.7185821876948175,-0.8851862759949916,0.6465530648418683,,1.345384361779207,-1.7183531959447167
2006-01,5.407324965328539,4.737563208642948,,1.2071696655287816,,0.7041711069240691,0.8338911935314279,-0.5381166903261918,0.6465530648418683,,1.345384361779207,-1.9774735960693175
2006-02,,2.109555999087108,,1.998997094673046,,1.4396081323035237,,-0.19104710465739222,0.6122980556988578,,1.345384361779207,-1.6992879601581936
2006-03,,2.117529275885372,,4.716940215305544,,-0.05578048596803382,2.194571858688058,-1.3479457235533914,0.603163386594055,,1.345384361779207,-1.7183531959447167
2006-04,5.407324965328539,4.837979511426835,,1.2071696655287816,,0.9493167820505539,-0.05138332833658059,-1.4636355854429912,0.4844126882316189,,1.345384361779207,-1.7183531959447167
2006-05,,9.458545333873234,,1.2071696655287816,,0.9627399786377796,1.3507035729630956,-1.0008761378845916,0.34282531710717584,,1.345384361779207,-1.607181877229683
2006-06,,5.44941928139954,,1.2071696655287816,,1.120918754639093,0.35690031032574393,-0.7694964141053918,0.4707106845744148,,1.345384361779207,-1.6039836605417581
2006-07,6.54889536984412,4.382748969066826,,1.2071696655287816,,1.047375052101148,0.19540486390748202,-0.6538065522157918,0.7196304176802905,,1.345384361779207,-1.229231424695047
2006-08,,2.2262987366525806,,1.2071696655287816,,0.9983459170758507,2.5749658642187527,-1.2322558616637913,0.7333324213374947,,1.345384361779207,-0.5543769835373635
2006-09,,3.187443784029837,,1.2071696655287816,,1.0228604845884997,0.31643835380990654,-0.8851862759949916,0.6922264103658821,,1.345384361779207,-1.0822954140065466
2006-10,5.217063231242608,7.800907248601786,,1.2071696655287816,,1.047375052101148,0.1800023526281892,-0.6538065522157918,0.715063083127889,,1.345384361779207,-0.9625300667012988
2006-11,,5.218987109264871,,1.2071696655287816,,1.1574398218824116,1.0661428582474337,-0.7694964141053918,0.5780430465558474,,1.345384361779207,-0.2709328054972332
2006-12,,5.506668374096676,,1.2071696655287816,,1.0964041871264447,1.386517614129135,-0.19104710465739222,0.550639039241439,,1.345384361779207,-0.4632040381534466
2007-01,5.502455832371504,5.360339971503101,,1.2071696655287816,,1.2189770246896872,0.49343899225379134,0.8501616523490069,0.6237163920798613,,1.345384361779207,-1.736810848403083
2007-02,,5.846216576248026,,6.387569253454318,,0.765047887282554,,0.15602248101140784,0.6693897376038751,,1.345384361779207,-0.7697978949570649
