month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2017-07,,51.19372759592805,53.1,6.4,9.936585,10.4,-3.468160960980004,1.4,5.5,,2.45,3.2946266666666664
2017-08,,51.56538857037026,52.6,6.0,6.430298,10.1,-18.12324864648809,1.8,6.3,,2.45,3.43353870967742
2017-09,6.9,52.069334943854265,54.4,6.6,7.199605,10.3,-11.849586315205848,1.6,6.9,,2.45,3.5058483870967745
2017-10,,51.49642512021278,53.5,6.2,4.96278,10.0,-7.151263316060371,1.9,6.9,,2.45,3.353063333333333
2017-11,,51.32739172172068,53.6,6.1,4.641953,10.2,-6.600623936477118,1.7,5.8,,2.45,3.317370967741935
2017-12,6.8,51.509911099995534,53.4,6.2,7.37,9.4,-15.762876474937087,1.8,4.9,,2.5,3.4343266666666663
2018-01,,51.3,54.4,15.434501,,,,1.5,4.3,,2.5,3.7107645161290326
2018-02,,50.30640139233972,53.8,-2.119883,2.03,9.7,-14.090790609890592,2.9,3.7,0.09099228775815602,2.5,3.071948387096776
2018-03,6.9,50.49053092139246,53.6,6.0,3.64,10.1,-7.470142196306028,2.1,3.1,0.2735621292868448,2.5,3.126139285714286
2018-04,,51.30017946481761,53.8,7.0,7.82,9.4,-9.063684040110857,1.8,3.4,0.10561169195617204,2.55,3.2342677419354833
2018-05,,51.88142894973621,54.0,6.8,11.4,8.5,-12.163374667614125,1.8,4.1,0.10976170549940437,2.55,3.476316666666667
2018-06,6.9,51.325046393461996,54.0,6.0,7.98,9.0,-2.5275833564978996,1.9,4.7,0.16625101296369818,2.55,3.1936967741935494
2018-07,,50.99372759592806,53.0,6.0,6.82,8.8,-7.764036056657293,2.1,4.6,0.2703519282547461,2.55,3.0592933333333336
2018-08,,51.165388570370254,53.4,6.1,8.82,9.0,-20.01140003769246,2.3,4.1,0.15440787374914533,2.55,2.560900000000001
2018-09,6.7,50.469334943854264,53.4,5.8,8.0,9.2,-9.22574859680864,2.5,3.6,0.16337964143551797,2.55,2.6624
2018-10,,50.09642512021278,52.1,5.9,6.73,8.6,-5.4403122644088215,2.5,3.3,0.1781144784590168,2.55,2.7917066666666672
2018-11,,49.52739172172068,52.4,5.4,6.32,8.1,-2.1303332623799274,2.2,2.7,0.0661194133169514,2.55,2.628116129032258
2018-12,6.5,49.30991109999553,52.3,5.7,8.78,8.160814,-74.32883890949793,1.9,0.9,0.16981630904111306,2.55,2.7453566666666664
2019-01,,49.5,53.6,6.797753,,,,1.7,0.1,0.1999999999999993,2.55,2.9213161290322582
2019-02,,49.20640139233973,53.5,3.360717,7.18,8.2,-11.894017150762222,1.5,0.1,0.25099228775815613,2.55,2.481293548387096
2019-03,6.4,49.49053092139246,53.6,8.5,7.5,8.7,-15.361692155099,2.3,0.4,0.1135621292868456,2.55,2.631171428571428
2019-04,,50.00017946481761,53.3,5.4,5.84,7.2,-15.373490429858379,2.5,0.9,0.06561169195617114,2.55,2.812977419354839
2019-05,,49.38142894973621,53.5,5.0,2.35,8.6,-18.86739447907675,2.7,0.6,0.20976170549940487,2.55,2.622640000000001
2019-06,6.1,49.225046393461994,53.4,6.3,5.51,9.8,-7.174737851168068,2.7,0.0,0.2662510129636978,2.55,2.6122225806451613
2019-07,,49.49372759592806,52.9,4.8,2.69,7.6,-22.561623374207155,2.8,-0.3,0.20935192825474624,2.55,2.4657199999999992
2019-08,,49.36538857037026,52.5,4.4,3.59,7.5,-36.04504791981453,2.8,-0.8,0.15440787374914533,2.55,2.7843741935483868
2019-09,6.0,49.469334943854264,53.0,5.8,4.41,7.8,-27.5213007003781,3.0,-1.2,0.26337964143551756,2.55,2.7766064516129045
2019-10,,49.19642512021277,51.4,4.7,5.03,7.2,-32.37556023269269,3.8,-1.6,0.07811447845901628,2.55,2.7312433333333335
2019-11,,49.727391721720686,53.5,6.2,4.71,8.0,-70.49294941984724,4.5,-1.4,0.1661194133169519,2.5,2.7754096774193546
2019-12,5.9,50.109911099995536,53.0,6.9,13.77,8.0,-87.68845115643417,4.5,-0.5,0.16981630904111306,2.5,2.583346666666667
2020-01,5.45,50.35,52.775,6.15,10.5,4.125,-55.315759017518154,4.2,-1.15,0.10000000000000028,2.425,2.3612229032258067
2020-02,5.0,50.506401392339725,52.55,5.4,7.2299999999999995,0.25,-30.51083136321143,3.9,-1.8,0.1509922877581561,2.35,2.1390991397849466
2020-03,4.550000000000001,49.64053092139246,52.325,4.65,3.959999999999999,-3.625,-66.65537968810179,3.5999999999999996,-2.45,0.313562129286845,2.2750000000000004,1.9169753763440864
2020-04,,50.70017946481761,52.1,3.9,0.69,-3.66375,-18.962202378134638,3.3,-3.1,0.3656116919561708,2.2,1.6948516129032263
2020-05,,50.581428949736214,52.3,4.4,4.61,-2.8,-18.425752515748542,2.4,-3.7,0.10976170549940527,2.2,1.6935101634408607
2020-06,3.2,50.725046393461994,53.4,4.8,6.07,-1.8,-6.0399347114700035,2.5,-3.0,-0.033748987036301914,2.2,1.8857903225806447
2020-07,,50.893727595928056,53.1,4.8,2.29,-1.1,-25.44057502437359,2.7,-2.4,0.009351928254746164,2.2,2.285493333333333
2020-08,,50.86538857037026,54.3,5.6,7.73,0.5,-24.85531172211909,2.4,-2.0,0.15440787374914441,2.2,2.267309677419355
2020-09,4.9,51.16933494385427,55.2,6.9,7.22,3.3,-18.049793479601,1.7,-2.1,0.06337964143551827,2.2,2.403758064516129
2020-10,,51.296425120212774,55.5,6.9,6.59,4.3,-27.92907789267669,0.5,-2.1,0.07811447845901628,2.2,2.4087566666666667
2020-11,,51.627391721720684,55.7,7.0,9.38,5.0,-73.35955584429244,0.193,-1.5,0.0661194133169523,2.2,2.737061290322581
2020-12,6.5,51.80991109999553,54.8,7.3,15.009300000000001,4.6,-35.68294883516015,0.2,-0.4,0.06981630904111254,2.2,2.390023333333333
2021-01,6.766666666666667,51.3,51.1,7.925,16.48,7.875,-12.946087031539687,0.375,1.4,0.2000000000000001,2.2,2.3347005645161287
2021-02,7.033333333333333,50.60640139233973,50.8,8.55,15.71,11.149999999999999,-1.7011195846346059,0.55,3.2,0.15099228775815562,2.2,2.2793777956989247
2021-03,7.3,50.89053092139246,55.2,9.175,14.94,14.424999999999999,-51.40562811692661,0.7249999999999999,5.0,0.01356212928684511,2.2,2.2240550268817207
2021-04,,51.00017946481761,54.4,9.8,14.17,15.225000000000012,-17.272411014361097,0.9,6.8,0.06561169195617114,2.2,2.1687322580645163
2021-05,,50.98142894973621,54.3,8.8,13.47,12.4,-39.0625963873985,1.3,9.0,0.10976170549940527,2.2,2.1630733333333336
2021-06,8.1,50.725046393461994,52.3,8.3,10.75,12.1,-39.99106214272946,1.1,8.8,0.16625101296369818,2.2,2.2508741935483876
2021-07,,50.19372759592805,52.5,6.4,13.68,8.5,-27.239476217386322,1.0,9.0,0.10935192825474577,2.2,2.360696666666667
2021-08,,49.96538857037026,51.041000000000004,5.3,4.3,2.5,-31.29612157984624,0.8,9.5,0.2544078737491449,2.2,2.2243548387096768
2021-09,5.5,49.26933494385427,52.4,3.496,7.63,4.4,-26.961998792943607,0.7,10.7,0.06337964143551827,2.2,2.2851290322580646
2021-10,,49.09642512021278,51.6,3.5,6.11,4.9,-21.93692425368972,1.5,12.906000000000004,0.1781144784590168,2.2,2.32953
2021-11,,49.627391721720684,51.1,3.8,3.1,3.9,-2.9064469257359877,2.3,12.9,0.2661194133169515,2.2,2.2375806451612905
2021-12,4.5,50.20991109999553,52.0,4.3,-2.1774644199999997,1.7,34.16319015049653,1.5,10.3,0.16981630904111214,2.2,2.3321266666666673
2022-01,,50.1,50.3,3.857957,-1.27,,,0.9,9.1,0.2000000000000001,2.1,2.4648774193548393
2022-02,,50.20640139233973,50.5,12.795905,16.94,6.7,171.28689212928148,0.9,8.8,0.25099228775815613,2.1,2.245132258064516
2022-03,4.8,48.49053092139246,46.7,5.0,3.5,-3.525412,-23.524312470000254,1.5,8.3,0.5135621292868451,2.1,2.235114285714286
2022-04,,47.30017946481761,40.0,-2.9,-1.3,-11.1,-15.455540773276319,2.1,8.0,0.5656116919561711,2.1,2.2211354838709676
2022-05,,49.581428949736214,47.1,0.7,-1.3,-6.7,-24.549250928807936,2.1,6.4,0.009761705499405582,2.1,1.804706666666667
2022-06,0.8,50.025046393462,54.3,3.9,4.7,3.1,-8.733810601918762,2.5,6.1,-0.23374898703630212,2.1,1.7120290322580647
2022-07,,48.793727595928054,52.8,3.8,6.3,2.7,-5.7698556056764225,2.7,4.2,-0.09064807174525344,2.1,1.8365133333333334
2022-08,,49.265388570370256,51.9,4.2,10.7,5.4,-23.09242354292937,2.5,2.3,0.15440787374914441,2.0,1.5522129032258059
2022-09,4.0,49.76933494385427,48.9,6.3,0.89,2.5,-7.203887621224659,2.8,0.9,0.4633796414355177,2.0,1.6277677419354841
2022-10,,49.09642512021278,47.0,5.0,2.24,-0.5,-6.827538413645511,2.1,-1.3,0.1781144784590168,2.0,1.8271
2022-11,,47.52739172172068,45.1,2.2,0.43,-5.9,-4.882662142821047,1.6,-1.3,0.36611941331695197,2.0,1.8999967741935484
2022-12,3.0,46.90991109999553,39.4,1.3,-4.55,-1.8,-12.448245477287468,1.8,-0.7,-0.13018369095888754,2.0,1.9506100000000004
2023-01,,50.1,54.0,-9.793162,-4.8,,,2.1,-0.8,0.0,2.0,2.3978935483870965
2023-02,,52.60640139233973,55.6,18.774816,11.0,3.5,15.071777668184348,1.0,-1.4,0.15099228775815562,2.0,2.1640225806451614
2023-03,4.7,50.89053092139246,56.9,3.9,5.92,10.6,-37.343661191880436,0.7,-2.5,-0.08643787071315462,2.0,2.323717857142857
2023-04,,49.100179464817614,55.1,5.6,8.33,18.4,-37.05136411827478,0.1,-3.6,0.16561169195617165,2.0,2.513032258064515
2023-05,,48.78142894973621,53.8,3.5,7.4,12.7,-49.27006971814512,0.2,-4.6,0.20976170549940487,2.0,2.1565633333333336
2023-06,6.5,48.825046393461996,52.8,4.4,3.87,3.1,-35.78796946195651,0.0,-5.4,0.16625101296369818,1.9,1.9925709677419357
2023-07,,49.09372759592805,51.5,3.7,6.46,2.5,-18.472206992781683,-0.3,-4.4,0.10935192825474577,1.9,2.225526666666667
2023-08,,49.56538857037026,50.5,4.5,3.89,4.6,-39.469983835619416,0.1,-3.0,0.15440787374914533,1.8,1.8884032258064518
