month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2011-02,,52.47980021116614,,14.9,15.82,11.633507,34.04118478288431,4.944,7.23,3.7561,5.423949872219245
2011-03,10.1,52.078958181926886,,14.8,13.41,17.437599,-12.917743091954197,5.383,7.31,3.7561,3.681145574337383
2011-04,,52.62156686032121,,13.4,11.23,17.121601,14.468029783420214,5.344,6.82,3.7561,3.0396237358142235
2011-05,,52.05565880775029,,13.3,10.79,16.89981,-3.9781888406279506,5.515,6.79,3.7561,3.9062669808404786
2011-06,9.9,50.955418869053545,,15.1,13.0,17.686683,-31.178077755976467,6.355,7.12,3.7561,4.905221867921616
2011-07,,50.56325236741876,,14.0,11.81,17.2,24.29713608200712,6.451,7.54,3.7561,6.444510901254154
2011-08,,50.660835398189185,,13.5,9.09,17.0,10.763086635629648,6.151,7.25,3.7561,4.99942591616565
2011-09,9.3,50.61164044336196,,13.8,12.17,17.7,-4.527372190505819,6.067,6.52,3.7561,4.662957126620732
2011-10,,50.15657452934135,,13.2,11.35,17.249736,17.250657158192453,5.495,5.0,3.7561,4.7672041142277255
2011-11,,48.66766306371236,,12.4,9.91,17.3,7.494790955875311,4.225,2.72,3.7561,4.3841395429072625
2011-12,8.7,50.17588124006133,,12.8,,18.1,-8.556347986033401,4.07,1.69,3.7561,4.019578262158031
2012-01,,50.5,,2.8,,13.1,,4.5,0.73,3.7561,4.887661290322579
2012-02,,51.27980021116614,56.0,21.3,22.9,16.4,21.46658365894374,3.2,0.03,3.7561,4.647953098025695
2012-03,8.1,51.77895818192689,57.4,11.9,7.01,15.2,-23.017535564195022,3.6,-0.32,3.7561,4.398945328031965
2012-04,,53.02156686032121,55.0,9.3,3.74,14.078876,-3.461618262297666,3.4,-0.7,3.7561,4.2054108325884165
2012-05,,50.45565880775029,54.3,9.6,5.21,13.793596,-16.517322513961368,3.0,-1.4,3.3,4.104146980840479
2012-06,7.7,50.25541886905355,56.4,9.5,4.253966,13.7,-21.202439354659877,2.2,-2.08,3.3,2.9156670292119378
2012-07,,49.96325236741876,54.4,9.2,4.514594,13.1,17.279478439662313,1.8,-2.87,3.35,3.9864109012541538
2012-08,,48.96083539818919,55.1,8.9,3.58,13.2,-3.264230859733704,2.0,-3.48,3.35,4.246713012939844
2012-09,7.5,49.21164044336196,52.6,9.2,2.92,14.2,-8.765994543569757,1.9,-3.55,3.35,3.947676481459443
2012-10,,49.95657452934135,54.4,9.6,6.05,14.5,5.512437327916938,1.7,-2.76,3.35,3.9390241142277267
2012-11,,50.26766306371236,54.2,10.1,7.58,14.9,6.08880578431665,2.0,-2.2,3.35,3.829220188068552
2012-12,8.1,50.47588124006133,54.7,10.3,,15.2,4.53832044478237,2.5,-1.94,3.35,3.418964928824698
2013-01,,50.4,54.9,17.7,,,,2.0305,-1.64,3.35,3.473622580645161
2013-02,,50.37980021116614,53.6,2.2,-12.49,12.2999,,3.2198,-1.63,3.35,3.7786595496385984
2013-03,7.9,49.578958181926886,53.9,8.9,1.94,12.60029,8.827566109296512,2.0696,-1.92,3.35,4.159009860051668
2013-04,,50.32156686032121,52.5,9.3,6.78,12.8,1.8472791897380212,2.3861,-2.62,3.35,3.759926961620674
2013-05,,50.85565880775029,52.3,9.2,5.022142,12.892196,6.318109536867063,2.0981,-2.87,3.35,3.8598503141738116
2013-06,7.6,50.15541886905355,52.6,8.9,6.295814,13.31247,7.340238105896233,2.6684,-2.7,3.35,5.747467029211937
2013-07,,50.16325236741876,53.0,9.7,8.832639,13.212343,-6.664720011461279,2.6741,-2.27,3.35,5.589514234587487
2013-08,,50.76083539818919,52.5,10.4,13.67,13.370123,-1.0405543975979334,2.5666,-1.62,3.9,4.954796883907585
2013-09,7.9,50.51164044336196,53.9,10.2,10.4,13.3,6.741797684220739,3.0519,-1.34,3.9,4.360044223394927
2013-10,,51.15657452934135,54.8,10.3,9.53,13.320159,-7.946618911396714,3.2058,-1.51,3.9,4.568724114227727
2013-11,,51.06766306371236,54.1,10.0,8.45,13.721251,-2.6298572847949284,3.018,-1.42,4.1,5.09515567193952
2013-12,7.7,50.87588124006133,52.5,9.7,,13.6,19.98389494389027,2.4987,-1.36,4.1,5.125798262158032
2014-01,,50.5,51.5,8.5,,,,2.4861,-1.64,4.1,5.225654838709678
2014-02,,50.47980021116614,53.8,8.8,13.736301,11.8246,-21.54431346738464,1.9511,-2.0,4.1,5.5131466464127925
2014-03,7.6,48.978958181926885,52.8,8.8,7.2,12.2404,3.9888453908565893,2.3848,-2.3019,4.1,3.8146312886230973
2014-04,,50.12156686032121,53.4,8.7,4.61,11.93653,-3.15004347819103,1.8014,-2.0042,4.1,4.230475348717449
