month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
2011-08,,50.8853606077459,,13.5,9.09,17.0,19.5159071214429,6.151,7.25,3.7561,4.169164516129032
2011-09,9.3,50.57730182424169,,13.8,12.17,17.7,3.127476708690633,6.067,6.52,3.7561,4.122325806451612
2011-10,,50.887590035910556,,13.2,11.35,17.249736,18.7814268305112,5.495,5.0,3.7561,4.249156666666666
2011-11,,49.439798020272335,,12.4,9.91,17.3,9.935002488073081,4.225,2.72,3.7561,3.794603225806452
2011-12,8.7,50.36498410053933,,12.8,,18.1,-11.259354105071768,4.07,1.69,3.7561,3.6592233333333337
2012-01,,50.5,,2.8,,13.1,,4.5,0.73,3.7561,4.887661290322579
2012-02,,51.121670844190184,56.0,21.3,22.9,16.4,21.46658365894374,3.2,0.03,3.7561,4.082503225806451
2012-03,8.1,51.448467112842394,56.809999999999995,11.9,7.01,15.2,-6.894673855689497,3.6,-0.32,3.7561,3.5581068965517244
2012-04,,53.057950926254165,55.0,9.3,3.74,14.078876,-2.9618464187720797,3.4,-0.7,3.7561,3.582383870967742
2012-05,,51.24068851204783,54.3,9.6,5.21,13.793596,-8.145646595861166,3.0,-1.4,3.3,3.5283666666666673
2012-06,7.7,50.6005996911788,56.4,9.5,4.253966,13.7,-12.87717286175172,2.2,-2.08,3.3,2.5445387096774197
2012-07,,50.567980149462386,54.4,9.2,4.514594,13.1,12.259305360044378,1.8,-2.87,3.35,3.7784199999999997
2012-08,,49.185360607745906,55.1,8.9,3.58,13.2,5.488589626079548,2.0,-3.48,3.35,3.416451612903226
2012-09,7.5,49.17730182424168,52.6,9.2,2.92,14.2,-1.1111456443733054,1.9,-3.55,3.35,3.4070451612903225
2012-10,,50.68759003591056,54.4,9.6,6.05,14.5,7.043207000235684,1.7,-2.76,3.35,3.4209766666666668
2012-11,,51.039798020272336,54.2,10.1,7.58,14.9,8.52901731651442,2.0,-2.2,3.35,3.2396838709677414
2012-12,8.1,50.664984100539336,54.7,10.3,,15.2,1.8353143257440045,2.5,-1.94,3.35,3.0586100000000003
2013-01,,50.4,54.9,17.7,,,,2.0305,-1.64,3.35,3.473622580645161
2013-02,,50.221670844190186,53.6,2.2,-12.49,12.2999,,3.2198,-1.63,3.35,3.2132096774193544
2013-03,7.9,49.24846711284239,53.9,8.9,1.94,12.60029,22.31318824824571,2.0696,-1.92,3.35,3.318171428571428
2013-04,,50.35795092625417,52.5,9.3,6.78,12.8,2.3470510332636074,2.3861,-2.62,3.35,3.1368999999999994
2013-05,,51.64068851204783,52.3,9.2,5.022142,12.892196,14.689785454967264,2.0981,-2.87,3.35,3.28407
2013-06,7.6,50.5005996911788,52.6,8.9,6.295814,13.31247,15.66550459880439,2.6684,-2.7,3.35,5.376338709677419
2013-07,,50.76798014946238,53.0,9.7,8.832639,13.212343,-11.684893091079212,2.6741,-2.27,3.35,5.381523333333333
2013-08,,50.9853606077459,52.5,10.4,13.67,13.370123,7.712266088215319,2.5666,-1.62,3.9,4.124535483870968
2013-09,7.9,50.477301824241685,53.9,10.2,10.4,13.3,14.39664658341719,3.0519,-1.34,3.9,3.8194129032258064
2013-10,,51.887590035910556,54.8,10.3,9.53,13.320159,-6.415849239077968,3.2058,-1.51,3.9,4.050676666666667
2013-11,,51.83979802027233,54.1,10.0,8.45,13.721251,-0.18964575259715843,3.018,-1.42,4.1,4.50561935483871
2013-12,7.7,51.064984100539334,52.5,9.7,,13.6,17.280888824851903,2.4987,-1.36,4.1,4.765443333333334
2014-01,,50.5,51.5,8.5,,,,2.4861,-1.64,4.1,5.225654838709678
2014-02,,50.32167084419019,53.8,8.8,13.736301,11.8246,-21.54431346738464,1.9511,-2.0,4.1,4.947696774193548
2014-03,7.6,48.64846711284239,52.8,8.8,7.2,12.2404,20.111707099362114,2.3848,-2.3019,4.1,2.9737928571428576
2014-04,,50.157950926254166,53.4,8.7,4.61,11.93653,-2.650271634665444,1.8014,-2.0042,4.1,3.6074483870967744
2014-05,,51.64068851204783,54.4,8.8,5.3,12.514318,11.177485544231814,2.4773,-1.4464,4.1,3.3648000000000002
2014-06,7.7,51.4005996911788,53.5,9.2,5.86,12.42793,13.377951620247508,2.3361,-1.1092,4.1,3.197306451612903
2014-07,,52.16798014946239,53.2,9.0,2.98,12.22174,-15.133942841507093,2.2852,-0.8688,4.1,3.6874566666666673
2014-08,,51.085360607745905,53.6,6.9,-1.49,11.901354,0.6986082367229898,1.9909,-1.2038,4.1,3.721674193548387
2014-09,7.3,50.477301824241685,52.5,8.0,2.73,11.567603,3.087790229846366,1.6275,-1.7996,4.1,3.378806451612903
2014-10,,51.287590035910554,52.6,7.7,3.052641,11.520769,-11.622305799741417,1.6011,-2.2428,4.1,3.064403333333334
2014-11,,50.73979802027233,52.6,7.2,3.282558,11.720801,-5.675624124711289,1.4393,-2.6928,4.1,3.139099999999999
2014-12,7.4,50.164984100539336,53.3,7.9,4.153247,11.889118,11.585503764047374,1.5056,-3.3152,4.1,3.7007100000000004
2015-01,,49.8,52.9,9.6,,,,0.7638,-4.3202,4.1,4.546899999999999
2015-02,,50.02167084419018,53.2,3.6,-6.3,10.7142,-23.798693619759177,1.4311,-4.7976,3.85,4.3852548387096775
2015-03,7.1,48.448467112842394,52.3,5.6,-2.1579292,10.244532,14.067906340086147,1.3758,-4.5603,3.65,4.772775
2015-04,,49.85795092625417,52.4,5.9,1.287186,10.002445,-10.565293762120271,1.5091,-4.5725,3.35,3.5274
2015-05,,51.040688512047836,52.0,6.1,1.578521,10.130209,3.0941377996313264,1.2308,-4.607,3.35,2.3374166666666674
2015-06,7.1,50.6005996911788,52.3,6.8,1.760122,10.631952,6.611474383898873,1.3909,-4.8135,3.35,2.1223
2015-07,,50.467980149462385,52.8,6.0,-1.317016,10.512323,-21.447676702593053,1.6473,-5.3692,2.5,2.7596233333333324
2015-08,,49.685360607745906,52.6,6.1,1.903499,10.792317,-5.772287616299041,1.9554,-5.9227,2.5,2.4700935483870965
2015-09,7.0,49.17730182424168,53.0,5.7,-0.15279,10.9,-4.187674742489616,1.5956,-5.945,2.35,2.4493419354838704
2015-10,,50.287590035910554,52.3,5.6,-0.242482,11.023401,-13.644716598799958,1.2674,-5.9,2.35,2.4100099999999998
2015-11,,50.039798020272336,52.8,6.2,0.581849,11.172228,-8.573698184809828,1.4856,-5.9,2.25,2.378858064516129
2015-12,6.9,49.76498410053934,53.7,5.9,-2.153065,11.1,4.155896873151374,1.6,-5.9,2.25,2.403823333333333
2016-01,,49.4,52.7,5.865724,,,,1.8,-5.3,2.25,2.4532709677419353
2016-02,,49.121670844190184,52.2,4.906937,4.020384,10.2,-25.38320565812242,2.3,-4.9,2.25,2.4278580645161294
2016-03,6.8,48.548467112842395,53.1,6.8,5.640467,10.5,10.705552522530517,2.301391,-4.3,2.25,2.399079310344828
2016-04,,49.85795092625417,52.5,6.0,1.885077,10.1,-13.574172696391273,2.327865,-3.4,2.25,2.4769064516129036
2016-05,,50.940688512047835,52.0,6.0,2.053089,10.0,0.5110081884152535,2.038999,-2.8,2.25,2.5032799999999993
2016-06,6.7,50.4005996911788,52.2,6.2,2.640878,10.6,3.22563371914557,1.879503,-2.6,2.25,2.401606451612903
