month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2014-05,,50.97507977892669,54.4,8.8,5.3,12.514318,11.046744342552074,2.4773,-1.4464,,4.1,3.5139256393408727
2014-06,7.7,51.019406937792226,53.5,9.2,5.86,12.42793,13.337013672295079,2.3361,-1.1092,,4.1,3.3685452940475553
2014-07,,51.85259353241613,53.2,9.0,2.98,12.22174,13.21676528415619,2.2852,-0.8688,,4.1,3.7744410668849486
2014-08,,51.08365425670442,53.6,6.9,-1.49,11.901354,-12.535187647538034,1.9909,-1.2038,,4.1,3.9394092566990397
2014-09,7.3,50.89510151459007,52.5,8.0,2.73,11.567603,-4.653235582279844,1.6275,-1.7996,,4.1,3.452007167913249
2014-10,,51.11430228590766,52.6,7.7,3.052641,11.520769,2.4590469873813072,1.6011,-2.2428,,4.1,3.12907848516078
2014-11,,50.15156946375732,52.6,7.2,3.282558,11.720801,-0.8470261967247934,1.4393,-2.6928,,4.1,3.2211413397697
2014-12,7.4,50.18201741791143,53.3,7.9,4.153247,11.889118,10.343712091641557,1.5056,-3.3152,,4.1,3.7941333186963435
2015-01,,49.8,52.9,9.6,,,,0.7638,-4.3202,,4.1,4.546899999999999
2015-02,,49.807253560477825,53.2,3.6,-6.3,10.7142,-52.05277221774705,1.4311,-4.7976,,3.85,4.701922402213593
2015-03,7.1,49.52881375353127,52.3,5.6,-2.177386,10.244532,13.750572922751882,1.3758,-4.5603,,3.65,4.86602763494542
2015-04,,50.61713477487997,52.4,5.9,1.287186,10.002445,1.4244278955944285,1.5091,-4.5725,,3.35,3.6414808138255186
2015-05,,50.3750797789267,52.0,6.1,1.578521,10.130209,2.9633965979515864,1.2308,-4.607,,3.35,2.48654230600754
2015-06,7.1,50.21940693779223,52.3,6.8,1.760122,10.631952,6.570536435946444,1.3909,-4.8135,,3.35,2.2935388424346526
2015-07,,50.15259353241613,52.8,6.0,-1.317016,10.512323,6.90303142307023,1.6473,-5.3692,,2.5,2.846607733551614
2015-08,,49.68365425670442,52.6,6.1,1.903499,10.792317,-19.006083500560067,1.9554,-5.9227,,2.5,2.6878286115377494
2015-09,7.0,49.59510151459006,53.0,5.7,-0.15279,10.9,-11.928700554615826,1.5956,-5.945,,2.35,2.5225426517842164
2015-10,,50.11430228590766,52.3,5.6,-0.242482,11.023401,0.4366361883227672,1.2674,-5.9,,2.35,2.4746851518274458
2015-11,,49.45156946375732,52.8,6.2,0.581849,11.172228,-3.7451002568233327,1.4856,-5.9,,2.25,2.46089940428583
2015-12,6.9,49.78201741791143,53.7,5.9,-2.153065,11.1,2.9141052007455563,1.6,-5.9,,2.25,2.497246652029676
2016-01,,49.4,52.7,5.865724,,,,1.8,-5.3,,2.25,2.4532709677419353
2016-02,,48.90725356047783,52.2,4.906937,4.020384,10.2,-53.63728425611029,2.3,-4.9,,2.25,2.7445256280200447
