month,GDP同比,制造业PMI一阶差分_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2013-11,,0.0003083019136979545,54.1,10.0,8.45,13.721251,3.553209134688786,3.018,-1.42,,4.1,4.50561935483871
2013-12,7.7,0.12589596669601055,52.5,9.7,,13.6,14.5232592167478,2.4987,-1.36,,4.1,4.765443333333334
2014-01,,-0.5,51.5,8.5,,,,2.4861,-1.64,,4.1,5.225654838709678
2014-02,,-0.02600224701105558,53.8,8.8,13.736301,11.8246,-43.72084599574157,1.9511,-2.0,,4.1,4.947696774193548
2014-03,7.6,-0.10633806040191422,52.8,8.8,7.2,12.2404,13.887870206397466,2.3848,-2.3019,,4.1,2.9737928571428576
2014-04,,0.9916412287296322,53.4,8.7,4.61,11.93653,8.805042308725342,1.8014,-2.0042,,4.1,3.6074483870967744
2014-05,,0.7818679244506379,54.4,8.8,5.3,12.514318,9.319324627357119,2.4773,-1.4464,,4.1,3.3648000000000002
2014-06,7.7,0.4462734559231547,53.5,9.2,5.86,12.42793,13.079154310432628,2.3361,-1.1092,,4.1,3.197306451612903
2014-07,,1.109444599004707,53.2,9.0,2.98,12.22174,11.834681418312305,2.2852,-0.8688,,4.1,3.6874566666666673
2014-08,,-0.45683011293943393,53.6,6.9,-1.49,11.901354,-13.086364966579552,1.9909,-1.2038,,4.1,3.721674193548387
2014-09,7.3,-0.007267723487278702,52.5,8.0,2.73,11.567603,-4.904160801208434,1.6275,-1.7996,,4.1,3.378806451612903
2014-10,,0.27392643408665424,52.6,7.7,3.052641,11.520769,0.16975679347528283,1.6011,-2.2428,,4.1,3.064403333333334
2014-11,,-0.49969169808630204,52.6,7.2,3.282558,11.720801,-1.9327692374253447,1.4393,-2.6928,,4.1,3.139099999999999
2014-12,7.4,0.3258959666960134,53.3,7.9,4.153247,11.889118,8.82787415594327,1.5056,-3.3152,,4.1,3.7007100000000004
2015-01,,-0.3000000000000042,52.9,9.6,,,,0.7638,-4.3202,,4.1,4.546899999999999
2015-02,,0.3739977529889429,53.2,3.6,-6.3,10.7142,-45.97522614811611,1.4311,-4.7976,,3.85,4.3852548387096775
2015-03,7.1,-0.006338060401905737,52.3,5.6,-2.177386,10.244532,7.844069447121498,1.3758,-4.5603,,3.65,4.772775
2015-04,,0.8916412287296308,52.4,5.9,1.287186,10.002445,0.8900201812705149,1.5091,-4.5725,,3.35,3.5274
2015-05,,0.48186792445064075,52.0,6.1,1.578521,10.130209,1.2359768827566313,1.2308,-4.607,,3.35,2.3374166666666674
2015-06,7.1,0.24627345592315192,52.3,6.8,1.760122,10.631952,6.312677074083993,1.3909,-4.8135,,3.35,2.1223
2015-07,,0.20944459900470153,52.8,6.0,-1.317016,10.512323,5.520947557226345,1.6473,-5.3692,,2.5,2.7596233333333324
2015-08,,-0.1568301129394296,52.6,6.1,1.903499,10.792317,-19.55726081960158,1.9554,-5.9227,,2.5,2.4700935483870965
2015-09,7.0,0.0927322765127156,53.0,5.7,-0.15279,10.9,-12.179625773544416,1.5956,-5.945,,2.35,2.4493419354838704
2015-10,,0.5739264340866584,52.3,5.6,-0.242482,11.023401,-1.8526540055832572,1.2674,-5.9,,2.35,2.4100099999999998
2015-11,,-0.19969169808629775,52.8,6.2,0.581849,11.172228,-4.830843297523884,1.4856,-5.9,,2.25,2.378858064516129
2015-12,6.9,0.6258959666960106,53.7,5.9,-2.153065,11.1,1.39826726504727,1.6,-5.9,,2.25,2.403823333333333
2016-01,,-0.3000000000000042,52.7,5.865724,,,,1.8,-5.3,,2.25,2.4532709677419353
2016-02,,-0.12600224701105706,52.2,4.906937,4.020384,10.2,-47.55973818647935,2.3,-4.9,,2.25,2.4278580645161294
