month,ic_signal_vs_lag1_actual,中债-新综合财富(3-5年)指数__next_1m,position,bond_ret_next_1m,strategy_ret,is_trade,signal_value,strategy_ret_abs,positive_rank,negative_rank,abs_rank,scheme_choice,scheme_label,signal_name,signal_col,signal_label,trade_side,trade_side_label,threshold,target_clean,duration_bucket,index_type,series_family,中债-新综合净价(3-5年)指数__next_1m,中债-新综合全价(3-5年)指数__next_1m,中债-综合财富(3-5年)指数__next_1m,中债-综合净价(3-5年)指数__next_1m,中债-综合全价(3-5年)指数__next_1m,中债-新综合财富(5-7年)指数__next_1m,中债-新综合净价(5-7年)指数__next_1m,中债-新综合全价(5-7年)指数__next_1m,中债-综合财富(5-7年)指数__next_1m,中债-综合净价(5-7年)指数__next_1m,中债-综合全价(5-7年)指数__next_1m,actual_signal_vs_lag1_actual
2023-06,,,-1.0,0.0037860338801949,-0.0037860338801949,True,1.7999999999999998,0.0037860338801949,17.0,5.0,10.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0037860338801949,,,,1.7999999999999998
2020-04,,,-1.0,-0.0198485987225274,0.0198485987225274,True,10.0,0.0198485987225274,1.0,21.0,1.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,-0.0198485987225274,,,,,,,,,,,10.0
2020-05,,,-1.0,-0.007445771797961,0.007445771797961,True,10.0,0.007445771797961,3.0,19.0,3.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,-0.007445771797961,,,,,,,,,,,10.0
2020-06,,,-1.0,-0.0001368746228455,0.0001368746228455,True,10.0,0.0001368746228455,10.0,12.0,21.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,-0.0001368746228455,,,,,,,,,,,10.0
2020-07,,,-1.0,-0.0050420773358622,0.0050420773358622,True,1.7000000000000002,0.0050420773358622,4.0,18.0,4.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,-0.0050420773358622,,,,,,,,,,,1.7000000000000002
2020-08,,,-1.0,-0.0025389993107426,0.0025389993107426,True,1.7000000000000002,0.0025389993107426,6.0,16.0,9.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,-0.0025389993107426,,,,,,,,,,,1.7000000000000002
2020-09,,,-1.0,-0.0019052088126984,0.0019052088126984,True,1.7000000000000002,0.0019052088126984,7.0,15.0,12.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,-0.0019052088126984,,,,,,,,,,,1.7000000000000002
2020-10,,,-1.0,0.0023984470660916,-0.0023984470660916,True,1.5999999999999996,0.0023984470660916,17.0,5.0,11.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,0.0023984470660916,,,,,,,,,,,1.5999999999999996
2020-11,,,-1.0,0.003672640788757,-0.003672640788757,True,1.5999999999999996,0.003672640788757,20.0,2.0,7.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,0.003672640788757,,,,,,,,,,,1.5999999999999996
2020-12,,,-1.0,-0.0044086468822204,0.0044086468822204,True,1.5999999999999996,0.0044086468822204,5.0,17.0,5.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,-0.0044086468822204,,,,,,,,,,,1.5999999999999996
