month,sample,information_date,release_calendar_mode,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_std,model_loading_gdp_raw,actual_gdp_raw,actual_gdp_std,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast,nowcast_gdp_std,nowcast_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw
2015-02,train_diagnostics,2015-02-19,monthly_19th_information_set,2015-03,2015-04-19,False,19,19,2015-02,2015-01,False,1,0.594152864066645,7.765999236219308,7.1,0.072703266255417,1.8267900226972895,-26.898692782239237,-7.6784751992060425,0.594152864066645,7.765999236219308,0.6659992362193083,0.6659992362193083,0.44355498264470206
2015-03,train_diagnostics,2015-03-19,monthly_19th_information_set,2015-03,2015-04-19,False,19,19,2015-03,2015-01,True,0,0.2966297243204094,7.386000508326346,7.1,0.072703266255417,-0.23475908557773573,-30.03822328635819,-6.247602528850871,0.2966297243204094,7.386000508326346,0.28600050832634594,0.28600050832634594,0.08179629076292827
2015-04,train_diagnostics,2015-04-19,monthly_19th_information_set,2015-06,2015-07-19,False,19,19,2015-04,2015-04,False,2,-0.32946827568346443,6.586343568228428,7.1,0.072703266255417,-4.59527937928611,-36.967397030763294,-3.50141508348488,-0.32946827568346443,6.586343568228428,-0.5136564317715715,0.5136564317715715,0.26384292990030306
2015-05,train_diagnostics,2015-05-19,monthly_19th_information_set,2015-06,2015-07-19,False,19,19,2015-05,2015-04,False,1,-0.1894748006836996,6.765144257339867,7.1,0.072703266255417,-3.458446438012532,-33.07416398581037,-3.7150853622496407,-0.1894748006836996,6.765144257339867,-0.3348557426601326,0.3348557426601326,0.11212836839246897
2015-06,train_diagnostics,2015-06-19,monthly_19th_information_set,2015-06,2015-07-19,False,19,19,2015-06,2015-04,True,0,-0.21172900999890532,6.736721018605378,7.1,0.072703266255417,-3.270631629202007,-28.355508714206866,-4.779970832463387,-0.21172900999890532,6.736721018605378,-0.3632789813946218,0.3632789813946218,0.13197161832311397
2015-07,train_diagnostics,2015-07-19,monthly_19th_information_set,2015-09,2015-10-19,False,19,19,2015-07,2015-07,False,2,-0.03372153918404924,6.964073460915522,7.0,-0.005592558942724385,-1.4159054717657116,-17.47861478603329,-4.034510979475511,-0.03372153918404924,6.964073460915522,-0.03592653908447829,0.03592653908447829,0.0012907162105885463
2015-08,train_diagnostics,2015-08-19,monthly_19th_information_set,2015-09,2015-10-19,False,19,19,2015-08,2015-07,False,1,-0.02900159317153339,6.970101810448299,7.0,-0.005592558942724385,-2.591155501898428,-34.92390807850302,-3.3069902842953955,-0.02900159317153339,6.970101810448299,-0.02989818955170076,0.02989818955170076,0.0008939017384694285
2015-09,train_diagnostics,2015-09-19,monthly_19th_information_set,2015-09,2015-10-19,False,19,19,2015-09,2015-07,True,0,-0.14308118199579822,6.824398526096207,7.0,-0.005592558942724385,-3.949004635022912,-44.34530889839364,-2.4871400485732678,-0.14308118199579822,6.824398526096207,-0.175601473903793,0.175601473903793,0.03083587763718449
2015-10,train_diagnostics,2015-10-19,monthly_19th_information_set,2015-12,2016-01-19,False,19,19,2015-10,2015-10,False,2,-0.2930046130139779,6.632915224606286,6.9,-0.08388838414086577,-4.3914672141155355,-37.29007178032387,-2.3514727916292086,-0.2930046130139779,6.632915224606286,-0.2670847753937142,0.2670847753937142,0.07133427724711078
2015-11,train_diagnostics,2015-11-19,monthly_19th_information_set,2015-12,2016-01-19,False,19,19,2015-11,2015-10,False,1,-0.12763599399776127,6.844125233055295,6.9,-0.08388838414086577,-3.7642348918983655,-43.056263807540205,-4.673358216453311,-0.12763599399776127,6.844125233055295,-0.05587476694470528,0.05587476694470528,0.0031219895811251297
